student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills
1,Male,20,BE,Mechanical,8.4,2,2,2,1
2,Female,20,BTech,Electrical,8.6,2,0,5,1
3,Male,22,BCA,Electrical,6.62,3,0,1,1
4,Male,24,BCA,DS,8.01,0,0,4,4
5,Male,24,BCA,Electrical,9.12,2,1,2,4
6,Female,22,BSc,CS,6.77,1,3,4,8
7,Male,23,BSc,CS,9.36,1,0,4,5
8,Male,20,BSc,CS,8.17,2,0,2,10
9,Male,20,BSc,IT,7.32,3,3,4,4
10,Female,22,BE,CS,8.18,3,0,3,8
11,Male,22,BE,CS,7.23,3,2,1,7
12,Male,23,BCA,DS,9.1,2,0,0,6
13,Male,24,BSc,Mechanical,7.57,3,0,1,2
14,Male,21,BCA,Mechanical,9.38,3,1,0,5
15,Female,24,BTech,CS,7.69,1,1,3,2
16,Male,20,BSc,CS,8.34,0,2,1,6
17,Female,22,BSc,CS,9.79,1,3,3,9
18,Female,23,BCA,Electrical,6.13,2,2,2,9
19,Female,24,BCA,DS,8.67,1,3,0,6
20,Male,23,BTech,DS,6.1,0,0,2,4
21,Female,24,BCA,DS,9.11,1,1,2,10
22,Male,20,BSc,Mechanical,8.06,3,2,1,9
23,Female,21,BE,IT,9.53,0,2,4,5
24,Female,23,BTech,Mechanical,9.22,2,1,4,8
25,Female,23,BTech,DS,5.82,1,3,3,9
26,Female,21,BSc,AI,6.09,1,0,1,5
27,Female,23,BE,IT,8.09,3,3,2,6
28,Female,23,BCA,CS,7.73,0,1,5,4
29,Female,24,BCA,Electrical,6.22,3,0,3,1
30,Female,24,BE,Mechanical,6.06,1,3,2,1
31,Male,21,BE,Electrical,7.93,1,0,3,5
32,Male,20,BSc,IT,5.71,0,1,5,3
33,Female,23,BCA,AI,9.26,1,0,0,7
34,Female,20,BSc,IT,8.97,0,2,3,4
35,Female,21,BCA,Mechanical,8.88,2,1,3,4
36,Male,21,BCA,DS,5.57,1,2,2,4
37,Female,24,BE,CS,5.7,0,0,4,6
38,Male,23,BSc,DS,7.86,0,3,2,9
39,Male,22,BE,DS,9.78,3,0,1,9
40,Male,21,BSc,Mechanical,6.97,1,1,2,5
41,Male,23,BCA,DS,6.98,3,1,5,8
42,Male,20,BTech,DS,6.08,0,0,4,4
43,Female,24,BTech,Mechanical,8.4,2,3,1,8
44,Female,20,BSc,Mechanical,8.28,2,1,5,10
45,Female,21,BSc,AI,5.94,1,0,4,9
46,Female,21,BE,DS,7.51,2,3,1,8
